time	duplex	start1	end1	start2	end2	axisX	axisY	axisZ	hel_pos
0	0	0	21	2698	2719	-0.8228487684741224	-0.2982429139930543	-0.3518084723119739	[7.748029227984047,19.886134156779697,-7.8558071064739075]
0	1	22	25	2244	2247	-0.8907238460723542	-0.19303053375535564	-0.34739409801306237	[0.8124195905745651,14.967071072324984,-11.839494952721651]
0	2	26	46	2673	2693	-0.9571908235586083	-0.06893264435521979	-0.028990692999787078	[-0.5706736981559817,14.625703671441203,-12.465024590324187]
0	3	48	52	2667	2671	-0.854782902898944	-0.18177431117523096	0.44391911249404176	[-9.472439840729177,13.907710396331638,-12.421077308428139]
0	4	57	71	2648	2662	-0.9711946787273783	-0.04755252599862277	0.039023217057220824	[-13.066844451763853,14.033093296252517,-10.343654218866543]
0	5	78	98	2624	2644	-0.11378359778905141	-0.28925967438861344	0.9203569445309865	[-20.858498024593956,12.850804553671008,-10.00316636112824]
0	6	103	123	2599	2619	0.46271193127771915	-0.43174672207013226	0.7361850769355378	[-23.34114498067369,9.514316465728562,0.01641482103924196]
0	7	124	129	787	792	0.36707953287295303	-0.6114909443305139	0.6611162446765251	[-19.52837760742601,5.849416936217992,6.204964139064957]
0	8	130	150	2572	2592	0.24403968531488607	-0.3731303105155195	0.8053578011859119	[-16.255421722062096,5.1321770065143735,6.921458081151228]
0	9	154	164	2561	2571	0.6640525594791289	0.04816681675830555	0.7116854742682533	[-14.261352498706362,2.0626725401923203,13.850529651821539]
0	10	169	185	2540	2556	0.8066733474183945	0.2991684600823781	0.4442032259815721	[-10.433722482027672,0.7731549918410701,19.303815808392745]
0	11	186	189	1482	1485	0.9510791045452377	0.2725290349864388	0.05511311943296034	[-5.42460003203907,5.250230739133656,22.032502984296926]
0	12	190	206	2519	2535	0.9422235647758658	0.21002439568554498	0.05981418359947078	[-3.81134597728605,5.69160002311107,22.079648886832885]
0	13	207	210	1461	1464	0.9483690748494914	0.2755880885122694	0.007209610876053856	[3.026141131376035,4.78127680078072,23.265905442056518]
0	14	211	231	2494	2514	0.9175541094883176	-0.2867890860234485	-0.050806894168909156	[4.702388482363941,5.102943334754061,23.323553119801318]
0	15	232	249	2473	2490	0.233978584713586	-0.740278584796711	-0.593010476046637	[13.18442964928537,2.4897090259944896,22.13726139734384]
0	16	250	253	1646	1649	-0.022744373409888108	-0.8242430784787382	-0.5558459637538772	[16.902794624783837,-3.2759412915690973,17.252530010272608]
0	17	254	270	2452	2468	-0.23193295066825273	-0.6037062446631267	-0.7202704008788507	[16.77184433894632,-4.511736868579474,16.2465323915416]
0	18	276	290	2432	2446	-0.45633974480704825	-0.7715534729727287	-0.4058439108163725	[12.191029173516519,-9.279247333951947,11.20268202405171]
0	19	292	295	1604	1607	-0.6948487487211827	-0.6155607453013437	-0.3275312796266368	[11.48128356251145,-15.550352947773892,8.260091273124658]
0	20	296	301	2421	2426	-0.5304657098195208	-0.8175220787947011	-0.14266630401763597	[10.425751439398404,-16.66064078301475,7.767592292486872]
0	21	305	330	2395	2420	-0.16292981153666455	-0.050769194125451736	-0.8944867811498185	[8.88349772748256,-18.466902721076575,6.360046139018916]
0	22	331	336	654	659	-0.14769440522988034	0.3031167515914662	-0.9161070877597257	[6.924101942281073,-18.764546366325497,-3.2137095104492124]
0	23	337	361	2364	2388	-0.055869514169693886	0.22254418644931848	-0.9114190212331903	[4.058499432421079,-18.381518378616423,-5.1897540467529115]
0	24	363	367	623	627	-0.348209805540454	0.40383709899702314	-0.8391181291226635	[3.343837401416015,-16.084516578088365,-14.988587462402482]
0	25	368	376	2349	2357	0.057031511335937035	0.44679728845012356	-0.8689058453573427	[4.400079958390068,-14.41698469170068,-17.015282358269587]
0	26	383	403	2325	2345	0.5963494176728426	0.778950295114802	-0.015453519297557583	[5.82818087188709,-10.673061916406727,-19.728595780144595]
0	27	404	407	1794	1797	0.2268406330352434	0.9183561404535129	0.2826898084393806	[8.508695198482018,-3.3915562614943324,-20.50366782922902]
0	28	408	418	2310	2320	0.10694014904393882	0.7035132766924079	0.6797004519143136	[8.836141182032847,-1.8629422400114166,-20.001980734550706]
